C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 105it [00:00, 151.96it/s, loss=-2.12, v_num=31]
Epoch 0: : 106it [00:00, 152.08it/s, loss=-1.66, v_num=31]
Epoch 0: : 107it [00:00, 152.21it/s, loss=-2.03, v_num=31]
Epoch 0: : 108it [00:00, 152.33it/s, loss=2.4, v_num=31]  
Epoch 0: : 109it [00:00, 152.45it/s, loss=2.34, v_num=31]
Epoch 0: : 110it [00:00, 152.57it/s, loss=6.26, v_num=31]
Epoch 0: : 111it [00:00, 152.47it/s, loss=6.53, v_num=31]
Epoch 0: : 112it [00:00, 152.59it/s, loss=14.3, v_num=31]
Epoch 0: : 113it [00:00, 152.50it/s, loss=14.2, v_num=31]
Epoch 0: : 114it [00:00, 152.41it/s, loss=14, v_num=31]  
Epoch 0: : 115it [00:00, 152.72it/s, loss=13.9, v_num=31]
Epoch 0: : 116it [00:00, 153.04it/s, loss=13.9, v_num=31]
Epoch 0: : 116it [00:00, 153.04it/s, loss=3.61, v_num=31]
Epoch 0: : 117it [00:00, 153.34it/s, loss=3.58, v_num=31]
Epoch 0: : 118it [00:00, 153.45it/s, loss=4.06, v_num=31]
Epoch 0: : 119it [00:00, 153.55it/s, loss=3.81, v_num=31]
Epoch 0: : 120it [00:00, 153.65it/s, loss=3.41, v_num=31]
Epoch 0: : 121it [00:00, 153.94it/s, loss=2.95, v_num=31]
Epoch 0: : 122it [00:00, 153.85it/s, loss=1.51, v_num=31]
Epoch 0: : 123it [00:00, 153.94it/s, loss=0.864, v_num=31]
Epoch 0: : 124it [00:00, 154.04it/s, loss=0.601, v_num=31]
Epoch 0: : 125it [00:00, 154.32it/s, loss=1.43, v_num=31] 
Epoch 0: : 126it [00:00, 154.41it/s, loss=1.98, v_num=31]
Epoch 0: : 127it [00:00, 154.50it/s, loss=7.17, v_num=31]
Epoch 0: : 128it [00:00, 154.78it/s, loss=2.81, v_num=31]
Epoch 0: : 129it [00:00, 154.68it/s, loss=3.23, v_num=31]
Epoch 0: : 130it [00:00, 154.40it/s, loss=4.29, v_num=31]
Epoch 0: : 131it [00:00, 154.48it/s, loss=4.58, v_num=31]
Epoch 0: : 132it [00:00, 154.57it/s, loss=4.81, v_num=31]
Epoch 0: : 133it [00:00, 154.83it/s, loss=5.36, v_num=31]
Epoch 0: : 134it [00:00, 154.91it/s, loss=5.36, v_num=31]
Epoch 0: : 134it [00:00, 154.74it/s, loss=5.94, v_num=31]
Epoch 0: : 135it [00:00, 154.64it/s, loss=6.88, v_num=31]
Epoch 0: : 136it [00:00, 154.72it/s, loss=6.44, v_num=31]
Epoch 0: : 137it [00:00, 154.45it/s, loss=6.21, v_num=31]
Epoch 0: : 138it [00:00, 154.71it/s, loss=5.67, v_num=31]
Epoch 0: : 139it [00:00, 154.79it/s, loss=5.24, v_num=31]
Epoch 0: : 140it [00:00, 155.04it/s, loss=4.87, v_num=31]
Epoch 0: : 141it [00:00, 155.12it/s, loss=4.36, v_num=31]
Epoch 0: : 142it [00:00, 155.19it/s, loss=6.12, v_num=31]
Epoch 0: : 143it [00:00, 155.44it/s, loss=6.47, v_num=31]
Epoch 0: : 144it [00:00, 155.51it/s, loss=6.49, v_num=31]
Epoch 0: : 145it [00:00, 155.75it/s, loss=6.03, v_num=31]
Epoch 0: : 146it [00:00, 155.82it/s, loss=5.9, v_num=31] 
Epoch 0: : 147it [00:00, 156.05it/s, loss=0.909, v_num=31]
Epoch 0: : 148it [00:00, 155.95it/s, loss=-6.67, v_num=31]
Epoch 0: : 149it [00:00, 156.19it/s, loss=-7.23, v_num=31]
Epoch 0: : 150it [00:00, 156.41it/s, loss=-12.3, v_num=31]
Epoch 0: : 151it [00:00, 156.64it/s, loss=-12.8, v_num=31]
Epoch 0: : 152it [00:00, 156.54it/s, loss=-12.8, v_num=31]
Epoch 0: : 152it [00:00, 156.38it/s, loss=-13.2, v_num=31]
Epoch 0: : 153it [00:00, 156.44it/s, loss=-13.6, v_num=31]
Epoch 0: : 154it [00:00, 156.66it/s, loss=-20.3, v_num=31]
Epoch 0: : 155it [00:00, 156.72it/s, loss=-20.7, v_num=31]
Epoch 0: : 156it [00:00, 156.78it/s, loss=-13.1, v_num=31]
Epoch 0: : 157it [00:01, 156.84it/s, loss=-12.2, v_num=31]
Epoch 0: : 158it [00:01, 157.06it/s, loss=-11.6, v_num=31]
Epoch 0: : 159it [00:01, 157.12it/s, loss=-11.1, v_num=31]
Epoch 0: : 160it [00:01, 157.17it/s, loss=-19, v_num=31]  
Epoch 0: : 161it [00:01, 157.23it/s, loss=-18.2, v_num=31]
Epoch 0: : 162it [00:01, 157.44it/s, loss=-11.6, v_num=31]
Epoch 0: : 163it [00:01, 157.49it/s, loss=-11.5, v_num=31]
Epoch 0: : 164it [00:01, 157.39it/s, loss=-11.2, v_num=31]
Epoch 0: : 165it [00:01, 157.29it/s, loss=-8.46, v_num=31]
Epoch 0: : 166it [00:01, 157.05it/s, loss=-9.34, v_num=31]
Epoch 0: : 167it [00:01, 157.10it/s, loss=-9.18, v_num=31]
Epoch 0: : 168it [00:01, 157.30it/s, loss=-1.54, v_num=31]
Epoch 0: : 169it [00:01, 157.50it/s, loss=1.9, v_num=31]  
Epoch 0: : 170it [00:01, 157.70it/s, loss=1.9, v_num=31]
Epoch 0: : 170it [00:01, 157.55it/s, loss=3.17, v_num=31]
Epoch 0: : 171it [00:01, 157.60it/s, loss=5.4, v_num=31] 
Epoch 0: : 172it [00:01, 157.65it/s, loss=7.22, v_num=31]
Epoch 0: : 173it [00:01, 157.70it/s, loss=13.5, v_num=31]
Epoch 0: : 174it [00:01, 157.75it/s, loss=19.3, v_num=31]
Epoch 0: : 175it [00:01, 157.66it/s, loss=19.3, v_num=31]
Epoch 0: : 176it [00:01, 157.71it/s, loss=18.9, v_num=31]
Epoch 0: : 177it [00:01, 158.04it/s, loss=18.3, v_num=31]
Epoch 0: : 178it [00:01, 157.94it/s, loss=18, v_num=31]  
Epoch 0: : 179it [00:01, 157.85it/s, loss=17.7, v_num=31]
Epoch 0: : 180it [00:01, 157.90it/s, loss=21.5, v_num=31]
Epoch 0: : 181it [00:01, 157.94it/s, loss=21.2, v_num=31]
Epoch 0: : 182it [00:01, 157.85it/s, loss=21, v_num=31]  
Epoch 0: : 183it [00:01, 157.90it/s, loss=20.8, v_num=31]
Epoch 0: : 184it [00:01, 157.94it/s, loss=20.1, v_num=31]
Epoch 0: : 185it [00:01, 157.99it/s, loss=16.9, v_num=31]
Epoch 0: : 186it [00:01, 158.16it/s, loss=10.7, v_num=31]
Epoch 0: : 187it [00:01, 158.34it/s, loss=10.4, v_num=31]
Epoch 0: : 188it [00:01, 158.52it/s, loss=10.4, v_num=31]
Epoch 0: : 188it [00:01, 158.38it/s, loss=10.1, v_num=31]
Epoch 0: : 189it [00:01, 158.56it/s, loss=6.97, v_num=31]
Epoch 0: : 190it [00:01, 158.60it/s, loss=5.62, v_num=31]
Epoch 0: : 191it [00:01, 158.51it/s, loss=3.35, v_num=31]
Epoch 0: : 192it [00:01, 158.55it/s, loss=-5.43, v_num=31]
Epoch 0: : 193it [00:01, 158.59it/s, loss=-11.9, v_num=31]
Epoch 0: : 194it [00:01, 158.76it/s, loss=-8.67, v_num=31]
Epoch 0: : 195it [00:01, 159.05it/s, loss=-9.16, v_num=31]
Epoch 0: : 196it [00:01, 159.22it/s, loss=-9.52, v_num=31]
Epoch 0: : 197it [00:01, 159.39it/s, loss=-9.15, v_num=31]
Epoch 0: : 198it [00:01, 159.16it/s, loss=-9.45, v_num=31]
Epoch 0: : 199it [00:01, 159.20it/s, loss=-9.62, v_num=31]
Epoch 0: : 200it [00:01, 159.24it/s, loss=-5.46, v_num=31]C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\logger_connector\result.py:227: UserWarning: You called `self.log('total wins:', ...)` in your `training_step` but the value needs to be floating point. Converting it to torch.float32.
  warning_cache.warn(

Epoch 0: : 201it [00:01, 146.08it/s, loss=-12.8, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 202it [00:01, 146.17it/s, loss=-13.2, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 203it [00:01, 146.25it/s, loss=-12.8, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 204it [00:01, 146.34it/s, loss=-8.74, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 205it [00:01, 146.43it/s, loss=-8.62, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 206it [00:01, 146.62it/s, loss=-8.62, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 206it [00:01, 146.52it/s, loss=-1.35, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 207it [00:01, 146.50it/s, loss=-0.637, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 208it [00:01, 146.48it/s, loss=-0.164, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 209it [00:01, 146.36it/s, loss=0.13, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]  
Epoch 0: : 210it [00:01, 146.24it/s, loss=-7.87, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 211it [00:01, 146.12it/s, loss=-7.82, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 212it [00:01, 146.11it/s, loss=-0.699, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
