C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 4: : 0it [00:00, ?it/s]
Epoch 4: : 1it [00:00,  9.80it/s]
Epoch 4: : 66it [00:03, 19.31it/s, loss=315, v_num=40]
Epoch 4: : 67it [00:03, 19.34it/s, loss=321, v_num=40]
Epoch 4: : 68it [00:03, 19.40it/s, loss=321, v_num=40]
Epoch 4: : 68it [00:03, 19.39it/s, loss=323, v_num=40]
Epoch 4: : 69it [00:03, 19.44it/s, loss=314, v_num=40]
Epoch 4: : 70it [00:03, 19.46it/s, loss=328, v_num=40]
Epoch 4: : 71it [00:03, 19.49it/s, loss=328, v_num=40]
Epoch 4: : 71it [00:03, 19.49it/s, loss=330, v_num=40]
Epoch 4: : 72it [00:03, 19.53it/s, loss=328, v_num=40]
Epoch 4: : 73it [00:03, 19.56it/s, loss=327, v_num=40]
Epoch 4: : 74it [00:03, 19.56it/s, loss=327, v_num=40]
Epoch 4: : 74it [00:03, 19.56it/s, loss=318, v_num=40]
Epoch 4: : 75it [00:03, 19.56it/s, loss=318, v_num=40]
Epoch 4: : 76it [00:03, 19.57it/s, loss=308, v_num=40]
Epoch 4: : 77it [00:03, 19.58it/s, loss=308, v_num=40]
Epoch 4: : 77it [00:03, 19.58it/s, loss=308, v_num=40]
Epoch 4: : 78it [00:03, 19.57it/s, loss=293, v_num=40]
Epoch 4: : 79it [00:04, 19.58it/s, loss=301, v_num=40]
Epoch 4: : 80it [00:04, 19.61it/s, loss=301, v_num=40]
Epoch 4: : 80it [00:04, 19.61it/s, loss=300, v_num=40]
Epoch 4: : 81it [00:04, 19.63it/s, loss=300, v_num=40]
Epoch 4: : 82it [00:04, 19.66it/s, loss=301, v_num=40]
Epoch 4: : 83it [00:04, 19.68it/s, loss=301, v_num=40]
Epoch 4: : 83it [00:04, 19.67it/s, loss=311, v_num=40]
Epoch 4: : 84it [00:04, 19.69it/s, loss=314, v_num=40]
Epoch 4: : 85it [00:04, 19.72it/s, loss=330, v_num=40]
Epoch 4: : 86it [00:04, 19.70it/s, loss=330, v_num=40]
Epoch 4: : 86it [00:04, 19.70it/s, loss=322, v_num=40]
Epoch 4: : 87it [00:04, 19.69it/s, loss=320, v_num=40]
Epoch 4: : 88it [00:04, 19.69it/s, loss=317, v_num=40]
Epoch 4: : 89it [00:04, 19.66it/s, loss=317, v_num=40]
Epoch 4: : 89it [00:04, 19.66it/s, loss=333, v_num=40]
Epoch 4: : 90it [00:04, 19.67it/s, loss=324, v_num=40]
Epoch 4: : 91it [00:04, 19.69it/s, loss=330, v_num=40]
Epoch 4: : 92it [00:04, 19.72it/s, loss=330, v_num=40]
Epoch 4: : 92it [00:04, 19.71it/s, loss=339, v_num=40]
Epoch 4: : 93it [00:04, 19.74it/s, loss=336, v_num=40]
Epoch 4: : 94it [00:04, 19.76it/s, loss=337, v_num=40]
Epoch 4: : 95it [00:04, 19.77it/s, loss=337, v_num=40]
Epoch 4: : 95it [00:04, 19.77it/s, loss=345, v_num=40]
Epoch 4: : 96it [00:04, 19.79it/s, loss=354, v_num=40]
Epoch 4: : 97it [00:04, 19.81it/s, loss=363, v_num=40]
Epoch 4: : 98it [00:04, 19.83it/s, loss=363, v_num=40]
