C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 118it [00:00, 150.51it/s, loss=nan, v_num=23]
Epoch 0: : 119it [00:00, 150.25it/s, loss=nan, v_num=23]
Epoch 0: : 120it [00:00, 150.38it/s, loss=nan, v_num=23]
Epoch 0: : 121it [00:00, 150.50it/s, loss=nan, v_num=23]
Epoch 0: : 122it [00:00, 150.62it/s, loss=nan, v_num=23]
Epoch 0: : 123it [00:00, 150.73it/s, loss=nan, v_num=23]
Epoch 0: : 124it [00:00, 150.67it/s, loss=nan, v_num=23]
Epoch 0: : 125it [00:00, 150.78it/s, loss=nan, v_num=23]
Epoch 0: : 126it [00:00, 151.08it/s, loss=nan, v_num=23]
Epoch 0: : 127it [00:00, 150.83it/s, loss=nan, v_num=23]
Epoch 0: : 128it [00:00, 150.94it/s, loss=nan, v_num=23]
Epoch 0: : 129it [00:00, 150.88it/s, loss=nan, v_num=23]
Epoch 0: : 130it [00:00, 150.99it/s, loss=nan, v_num=23]
Epoch 0: : 130it [00:00, 150.81it/s, loss=nan, v_num=23]
Epoch 0: : 131it [00:00, 150.92it/s, loss=nan, v_num=23]
Epoch 0: : 132it [00:00, 151.20it/s, loss=nan, v_num=23]
Epoch 0: : 133it [00:00, 151.31it/s, loss=nan, v_num=23]
Epoch 0: : 134it [00:00, 151.41it/s, loss=nan, v_num=23]
Epoch 0: : 135it [00:00, 151.35it/s, loss=nan, v_num=23]
Epoch 0: : 136it [00:00, 151.45it/s, loss=nan, v_num=23]
Epoch 0: : 137it [00:00, 151.38it/s, loss=nan, v_num=23]
Epoch 0: : 138it [00:00, 151.65it/s, loss=nan, v_num=23]
Epoch 0: : 139it [00:00, 151.91it/s, loss=nan, v_num=23]
Epoch 0: : 140it [00:00, 152.01it/s, loss=nan, v_num=23]
Epoch 0: : 141it [00:00, 152.10it/s, loss=nan, v_num=23]
Epoch 0: : 142it [00:00, 152.20it/s, loss=nan, v_num=23]
Epoch 0: : 143it [00:00, 152.29it/s, loss=nan, v_num=23]
Epoch 0: : 144it [00:00, 152.38it/s, loss=nan, v_num=23]
Epoch 0: : 145it [00:00, 152.31it/s, loss=nan, v_num=23]
Epoch 0: : 146it [00:00, 152.40it/s, loss=nan, v_num=23]
Epoch 0: : 147it [00:00, 152.49it/s, loss=nan, v_num=23]
Epoch 0: : 148it [00:00, 152.58it/s, loss=nan, v_num=23]
Epoch 0: : 148it [00:00, 152.58it/s, loss=nan, v_num=23]
Epoch 0: : 149it [00:00, 152.51it/s, loss=nan, v_num=23]
Epoch 0: : 150it [00:00, 152.44it/s, loss=nan, v_num=23]
Epoch 0: : 151it [00:00, 152.68it/s, loss=nan, v_num=23]
Epoch 0: : 152it [00:00, 152.92it/s, loss=nan, v_num=23]
Epoch 0: : 153it [00:00, 153.00it/s, loss=nan, v_num=23]
Epoch 0: : 154it [00:01, 152.93it/s, loss=nan, v_num=23]
Epoch 0: : 155it [00:01, 152.86it/s, loss=nan, v_num=23]
Epoch 0: : 156it [00:01, 152.64it/s, loss=nan, v_num=23]
Epoch 0: : 157it [00:01, 152.58it/s, loss=nan, v_num=23]
Epoch 0: : 158it [00:01, 152.66it/s, loss=nan, v_num=23]
Epoch 0: : 159it [00:01, 152.59it/s, loss=nan, v_num=23]
Epoch 0: : 160it [00:01, 152.67it/s, loss=nan, v_num=23]
Epoch 0: : 161it [00:01, 152.75it/s, loss=nan, v_num=23]
Epoch 0: : 162it [00:01, 152.69it/s, loss=nan, v_num=23]
Epoch 0: : 163it [00:01, 152.76it/s, loss=nan, v_num=23]
Epoch 0: : 164it [00:01, 152.84it/s, loss=nan, v_num=23]
Epoch 0: : 165it [00:01, 152.92it/s, loss=nan, v_num=23]
