C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 3: : 0it [00:00, ?it/s]
Epoch 3: : 137it [00:00, 140.66it/s, loss=123, v_num=39]
Epoch 3: : 138it [00:00, 140.39it/s, loss=123, v_num=39]
Epoch 3: : 139it [00:00, 140.40it/s, loss=123, v_num=39]
Epoch 3: : 140it [00:00, 140.28it/s, loss=121, v_num=39]
Epoch 3: : 141it [00:01, 140.30it/s, loss=118, v_num=39]
Epoch 3: : 142it [00:01, 140.18it/s, loss=118, v_num=39]
Epoch 3: : 143it [00:01, 140.20it/s, loss=120, v_num=39]
Epoch 3: : 144it [00:01, 140.08it/s, loss=120, v_num=39]
Epoch 3: : 144it [00:01, 140.08it/s, loss=123, v_num=39]
Epoch 3: : 145it [00:01, 139.96it/s, loss=122, v_num=39]
Epoch 3: : 146it [00:01, 140.12it/s, loss=127, v_num=39]
Epoch 3: : 147it [00:01, 140.13it/s, loss=153, v_num=39]
Epoch 3: : 148it [00:01, 140.28it/s, loss=173, v_num=39]
Epoch 3: : 149it [00:01, 140.30it/s, loss=165, v_num=39]
Epoch 3: : 150it [00:01, 140.58it/s, loss=174, v_num=39]
Epoch 3: : 151it [00:01, 140.60it/s, loss=168, v_num=39]
Epoch 3: : 152it [00:01, 140.74it/s, loss=146, v_num=39]
Epoch 3: : 153it [00:01, 140.88it/s, loss=170, v_num=39]
Epoch 3: : 154it [00:01, 141.16it/s, loss=191, v_num=39]
Epoch 3: : 155it [00:01, 141.04it/s, loss=167, v_num=39]
Epoch 3: : 156it [00:01, 141.30it/s, loss=159, v_num=39]
Epoch 3: : 157it [00:01, 141.31it/s, loss=159, v_num=39]
Epoch 3: : 158it [00:01, 141.58it/s, loss=126, v_num=39]
Epoch 3: : 159it [00:01, 141.46it/s, loss=126, v_num=39]
Epoch 3: : 160it [00:01, 141.47it/s, loss=130, v_num=39]
Epoch 3: : 161it [00:01, 141.48it/s, loss=130, v_num=39]
Epoch 3: : 161it [00:01, 141.35it/s, loss=134, v_num=39]
Epoch 3: : 162it [00:01, 141.36it/s, loss=150, v_num=39]
Epoch 3: : 163it [00:01, 141.25it/s, loss=136, v_num=39]
Epoch 3: : 164it [00:01, 141.26it/s, loss=96.7, v_num=39]
Epoch 3: : 165it [00:01, 141.39it/s, loss=87.3, v_num=39]
Epoch 3: : 166it [00:01, 141.40it/s, loss=98.1, v_num=39]
Epoch 3: : 167it [00:01, 141.29it/s, loss=112, v_num=39] 
Epoch 3: : 168it [00:01, 141.18it/s, loss=91.8, v_num=39]
Epoch 3: : 169it [00:01, 141.07it/s, loss=94.5, v_num=39]
Epoch 3: : 170it [00:01, 141.08it/s, loss=103, v_num=39] 
Epoch 3: : 171it [00:01, 141.09it/s, loss=118, v_num=39]
Epoch 3: : 172it [00:01, 141.22it/s, loss=156, v_num=39]
Epoch 3: : 173it [00:01, 141.11it/s, loss=156, v_num=39]
Epoch 3: : 174it [00:01, 141.01it/s, loss=155, v_num=39]
Epoch 3: : 175it [00:01, 140.90it/s, loss=166, v_num=39]
Epoch 3: : 176it [00:01, 141.03it/s, loss=171, v_num=39]
Epoch 3: : 177it [00:01, 141.04it/s, loss=171, v_num=39]
Epoch 3: : 178it [00:01, 141.16it/s, loss=171, v_num=39]
Epoch 3: : 178it [00:01, 141.05it/s, loss=279, v_num=39]
Epoch 3: : 179it [00:01, 141.06it/s, loss=279, v_num=39]
Epoch 3: : 180it [00:01, 141.07it/s, loss=267, v_num=39]
Epoch 3: : 181it [00:01, 141.19it/s, loss=249, v_num=39]
Epoch 3: : 182it [00:01, 141.20it/s, loss=250, v_num=39]
Epoch 3: : 183it [00:01, 141.31it/s, loss=244, v_num=39]
Epoch 3: : 184it [00:01, 141.21it/s, loss=285, v_num=39]
Epoch 3: : 185it [00:01, 141.22it/s, loss=285, v_num=39]
Epoch 3: : 186it [00:01, 141.12it/s, loss=280, v_num=39]
Epoch 3: : 187it [00:01, 141.24it/s, loss=281, v_num=39]
Epoch 3: : 188it [00:01, 141.35it/s, loss=281, v_num=39]
Epoch 3: : 189it [00:01, 141.47it/s, loss=283, v_num=39]
Epoch 3: : 190it [00:01, 141.37it/s, loss=264, v_num=39]
Epoch 3: : 191it [00:01, 141.27it/s, loss=261, v_num=39]
Epoch 3: : 192it [00:01, 141.28it/s, loss=249, v_num=39]
Epoch 3: : 193it [00:01, 141.29it/s, loss=256, v_num=39]
Epoch 3: : 194it [00:01, 141.19it/s, loss=238, v_num=39]
Epoch 3: : 195it [00:01, 141.10it/s, loss=238, v_num=39]
Epoch 3: : 195it [00:01, 141.00it/s, loss=204, v_num=39]
Epoch 3: : 196it [00:01, 141.21it/s, loss=193, v_num=39]
Epoch 3: : 197it [00:01, 141.12it/s, loss=216, v_num=39]
Epoch 3: : 198it [00:01, 141.23it/s, loss=140, v_num=39]
Epoch 3: : 199it [00:01, 141.34it/s, loss=140, v_num=39]
Epoch 3: : 200it [00:01, 141.24it/s, loss=144, v_num=39]C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\logger_connector\result.py:227: UserWarning: You called `self.log('total wins:', ...)` in your `training_step` but the value needs to be floating point. Converting it to torch.float32.
  warning_cache.warn(

Epoch 3: : 201it [00:01, 137.67it/s, loss=164, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 202it [00:01, 137.60it/s, loss=163, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
